,0
rain_altitude_ratio,0.063740134
urban_elevation,0.05853891
Latitude,0.05797954
Atmospheric_Pressure,0.057571046
Drainage_Capacity,0.05710022
Humidity,0.056073256
rain_to_drain_ratio,0.056040775
Longitude,0.05599467
elevation_adjusted,0.055890676
Drainage_System_Condition,0.055129953
River_Level,0.054872874
Population_Density,0.054823592
humidity_rain_interaction,0.054510675
Rainfall_Intensity,0.054135196
Temperature,0.054123584
urban_density,0.0535235
Altitude,0.05333674
Urbanization_Level,0.04661472
in_flood_zone,0.0
